cuebiq_id,cluster,stop_lat,stop_lon,stop_ts,poi_name,poi_lat,poi_lon,polygon_type
toy_worker_043,1,40.700617972205194,-73.98223950077242,2021-09-20T14:03:00,Greenpoint Bakery,40.700171,-73.98172,POINT
toy_worker_029,1,40.701404505320774,-73.98215072957233,2021-10-09T14:39:00,Cesar's Gourmet #4,40.701927,-73.98468,POINT
toy_worker_011,4,40.68854043217587,-74.00421350720931,2021-09-29T11:55:00,Atlantic Burgers,40.700511,-73.987679,POINT
toy_worker_027,6,40.698744501724896,-73.98982708031785,2021-09-25T11:34:00,Gowanus Smoke,40.702811,-73.9858,POINT
toy_worker_005,5,40.693374953804145,-73.97801118537232,2021-09-25T12:24:00,Flatbush Pastry #2,40.688856,-74.001031,POINT
toy_worker_046,4,40.69928461144461,-73.97641090743437,2021-09-05T13:07:00,Henry St Grill,40.689102,-73.996318,POINT
toy_worker_008,1,40.69650919666786,-73.99474226765558,2021-09-17T11:13:00,Flatbush Pastry #3,40.700007,-73.983894,POINT
toy_worker_044,2,40.69178809074411,-74.00480086997415,2021-09-08T12:54:00,Tandon Cafe,40.696798,-73.993131,POINT
toy_worker_024,3,40.696449813232995,-73.97568621617502,2021-09-18T13:19:00,Smith St Wok,40.699528,-73.983108,POINT
toy_worker_039,4,40.69209878491368,-73.98827505422405,2021-09-26T14:32:00,Smith St Wok #4,40.687782,-73.977104,POINT
toy_worker_009,2,40.69951014950811,-73.98228376878463,2021-09-01T11:42:00,Henry St Grill #3,40.701025,-73.997614,POINT
toy_worker_001,1,40.68427206660315,-73.99638890951803,2021-10-04T12:36:00,Tandon Cafe #2,40.693508,-73.981461,POINT
toy_worker_049,0,40.68844528055093,-73.99900313420189,2021-09-29T12:58:00,Court St Coffee #4,40.686354,-73.978507,POINT
toy_worker_019,5,40.68654389388789,-73.99141138829262,2021-09-11T14:40:00,Smith St Wok,40.699528,-73.983108,POINT
toy_worker_044,2,40.69193814540042,-74.00505289716558,2021-09-05T13:02:00,Park Slope Pies #2,40.695961,-74.000415,POINT
toy_worker_030,2,40.69289949505896,-73.99706184376707,2021-09-22T14:43:00,Jasper H Kane Hall #3,40.689902,-73.986855,POINT
toy_worker_021,0,40.69475934309478,-74.00319672878534,2021-09-26T14:46:00,Cesar's Gourmet #3,40.70023,-74.002231,POINT
toy_worker_015,1,40.688421071268216,-73.98387846471853,2021-09-20T12:33:00,Tandon Cafe,40.696798,-73.993131,POINT
toy_worker_010,3,40.697126627630894,-73.99832573470961,2021-10-08T11:25:00,Roebling Tea #4,40.698342,-73.98845,POINT
toy_worker_014,0,40.69158303340982,-73.98615305161856,2021-09-11T11:13:00,Pine Box Sandwich #2,40.693167,-73.976386,POINT
toy_worker_031,3,40.68886294854037,-73.98607656595559,2021-10-07T14:42:00,Cesar's Gourmet #3,40.70023,-74.002231,POINT
toy_worker_029,1,40.70128748990599,-73.98281293840147,2021-10-06T12:39:00,Cobble Greens #4,40.702661,-73.988914,POINT
toy_worker_035,0,40.690158258559634,-73.99478229514999,2021-09-25T13:14:00,Brooklyn Bagel #4,40.685064,-73.981866,POINT
toy_worker_045,3,40.69168039211356,-73.98208671446164,2021-09-12T13:45:00,Boerum Salad Bar #3,40.692546,-73.98749,POINT
toy_worker_023,2,40.69353119664839,-73.98096291375222,2021-10-07T12:37:00,Smith St Wok,40.699528,-73.983108,POINT
toy_worker_030,2,40.692689838142336,-73.99695429431827,2021-10-07T12:10:00,Dock St Coffee #3,40.696416,-73.99708,POINT
toy_worker_000,0,40.69041582496058,-73.98825223922282,2021-09-10T12:34:00,Carroll Garden Sushi,40.691814,-73.988439,POINT
toy_worker_008,1,40.696126599245844,-73.99427647090637,2021-09-30T11:29:00,Williamsburg Pizza,40.691125,-74.000336,POINT
toy_worker_035,0,40.689426351180515,-73.9962001972097,2021-10-10T13:14:00,Williamsburg Pizza #3,40.69319,-73.99231,POINT
toy_worker_039,4,40.693011285413526,-73.98822859715175,2021-09-14T11:57:00,Henry St Grill #3,40.701025,-73.997614,POINT
toy_worker_025,4,40.69598610395545,-73.97647126762756,2021-09-03T13:38:00,Brooklyn Bagel,40.69651,-74.00425,POINT
toy_worker_008,1,40.696533209714886,-73.99488334964263,2021-10-03T13:10:00,Park Slope Pies,40.686669,-74.002099,POINT
toy_worker_008,1,40.69681292328558,-73.99569324514016,2021-09-10T12:11:00,Brooklyn Bagel #3,40.692594,-73.996644,POINT
