poi_id,poi_name,original_share,counterfactual_share,share_change,dist_to_removed_m,freq,category
McDonald's|40.684631|-73.976874,McDonald's,0.04749291273674598,0.05092819046648304,0.003435277729737056,1392.4305719347528,439,Snack and Nonalcoholic Beverage Bars
Jasper H Kane Dining Hall|40.694198|-73.986570,Jasper H Kane Dining Hall,0.04728619920608029,0.050481313964618066,0.003195114758537773,129.7976209448937,695,Limited-Service Restaurants
Teranga Brooklyn|40.691009|-73.982940,Teranga Brooklyn,0.061185327078770654,0.06437079622575997,0.00318546914698932,534.0858317974689,750,Limited-Service Restaurants
Cammareri Bakery & Cafe|40.689571|-73.975901,Cammareri Bakery & Cafe,0.036884388082816896,0.039485550130808754,0.0026011620479918576,1129.0818957824329,334,Limited-Service Restaurants
DGGD Coffee Shop|40.693738|-73.987343,DGGD Coffee Shop,0.03161957129925387,0.03416439923279593,0.0025448279335420626,60.374684005095396,313,Snack and Nonalcoholic Beverage Bars
Starbucks|40.694041|-73.986798,Starbucks,0.029084342135562782,0.03145173653528312,0.002367394399720335,106.87795085568833,250,Snack and Nonalcoholic Beverage Bars
Buffalo Wild Wings|40.684715|-73.977640,Buffalo Wild Wings,0.021776954273125784,0.023720643293903932,0.0019436890207781485,1342.5085771789322,178,Full-Service Restaurants
Yossi's Cart|40.692679|-73.991014,Yossi's Cart,0.017793789777213916,0.0195784706154166,0.0017846808382026846,282.6879010585662,250,Full-Service Restaurants
Ils Wayport|40.690532|-73.985838,Ils Wayport,0.020244296078937518,0.021747276143810352,0.0015029800648728338,413.6934131585235,180,Full-Service Restaurants
Starbucks|40.689216|-73.985867,Starbucks,0.011844402005887036,0.013262591064614925,0.0014181890587278891,547.5636215807561,106,Snack and Nonalcoholic Beverage Bars
Luther Fried Chicken|40.692117|-73.987152,Luther Fried Chicken,0.016429773008082786,0.017809176064255014,0.0013794030561722279,207.41625579504867,150,Full-Service Restaurants
Dallas BBQ|40.689978|-73.987130,Dallas BBQ,0.013857432021940556,0.015143939128265917,0.001286507106325361,438.0157091592603,130,Full-Service Restaurants
Chipotle Mexican Grill|40.693577|-73.986288,Chipotle Mexican Grill,0.01552335306682299,0.01670771866701585,0.0011843656001928587,151.09653915845598,157,Limited-Service Restaurants
P L S Stores|40.693541|-73.987736,P L S Stores,0.010129145212203915,0.011297483770687747,0.0011683385584838318,43.50182694390642,115,Snack and Nonalcoholic Beverage Bars
Wingstop|40.688386|-73.981980,Wingstop,0.02746049260252485,0.028587101077730766,0.0011266084752059174,794.4642373300973,375,Limited-Service Restaurants
Pret A Manger|40.693312|-73.985607,Pret A Manger,0.011340786994624022,0.012462811134054496,0.0011220241394304734,214.01829761697945,133,Limited-Service Restaurants
High Grade Deli|40.692138|-73.988588,High Grade Deli,0.01144051242458433,0.012540943750421474,0.0011004313258371444,196.50089403818882,121,Limited-Service Restaurants
Korilla BBQ|40.693376|-73.985712,Korilla BBQ,0.010723527529761228,0.01179861165563659,0.0010750841258753627,203.5612664836397,617,Snack and Nonalcoholic Beverage Bars
Lanafay|40.685808|-73.980535,Lanafay,0.016236132128958358,0.017302949543678052,0.0010668174147196938,1096.1093260752866,178,Full-Service Restaurants
U Kiss|40.685387|-73.976461,U Kiss,0.024279407324029667,0.025324247667032285,0.0010448403430026176,1356.5579107902388,314,Full-Service Restaurants
Tio Pio|40.692076|-73.985652,Tio Pio,0.01163837634492241,0.012612608221805799,0.0009742318768833878,282.4487669750757,118,Full-Service Restaurants
Kuun|40.688269|-73.983227,Kuun,0.010184227571308976,0.011087822599794237,0.0009035950284852611,742.126700598094,149,Snack and Nonalcoholic Beverage Bars
Brooklyn Organics Coffee & Tea|40.693624|-73.990856,Brooklyn Organics Coffee & Tea,0.010488841325705473,0.011387678256855528,0.0008988369311500547,238.64287226362717,262,Snack and Nonalcoholic Beverage Bars
